Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
SerialNumber: DCB535485BF5-6D2D,,,,,,,,,
time,ax,ay,az,gx,gy,gz,mx,my,mz
,,,,,,,,,
06-26-2025 19:33:56.713,-0.39162,-0.08052,0.975268,1.61,-1.225,-0.035,0.363,0.204,-0.0615
06-26-2025 19:33:56.753,-0.393084,-0.126148,1.126548,0.315,0.14,-1.82,0.3555,0.204,-0.051
06-26-2025 19:33:56.793,-0.386008,-0.184464,0.970388,-0.07,0.035,1.4,0.3615,0.204,-0.051
06-26-2025 19:33:56.833,-0.352336,-0.144692,0.916708,-0.49,1.225,-0.525,0.3555,0.1965,-0.063
06-26-2025 19:33:56.873,-0.319884,-0.085644,1.007476,-0.77,0.63,0.665,0.36,0.2025,-0.0525
06-26-2025 19:33:56.913,-0.247904,-0.162504,1.001864,0.84,0.035,-0.63,0.3615,0.2145,-0.057
06-26-2025 19:33:56.953,-0.273768,-0.046604,0.941352,0.07,-0.07,0.035,0.3555,0.198,-0.048
06-26-2025 19:33:56.993,-0.341844,-0.142252,0.982344,0.945,-0.07,0,0.36,0.21,-0.0585
06-26-2025 19:33:57.033,-0.401868,-0.104676,0.997716,0.525,-0.63,-0.63,0.3495,0.21,-0.0525
06-26-2025 19:33:57.073,-0.38918,-0.09467199,0.98576,-0.42,0.245,0.49,0.3495,0.201,-0.0555
06-26-2025 19:33:57.113,-0.332816,-0.124684,0.960628,0.63,0.525,-0.525,0.357,0.204,-0.0615
06-26-2025 19:33:57.153,-0.288652,-0.083936,0.97844,-0.875,0.455,0.455,0.357,0.21,-0.051
06-26-2025 19:33:57.193,-0.276452,-0.129564,0.993568,0.595,0,0.07,0.357,0.207,-0.063
06-26-2025 19:33:57.233,-0.30988,-0.080276,0.96746,-0.35,-0.28,-0.105,0.36,0.2025,-0.0555
06-26-2025 19:33:57.273,-0.36234,-0.146888,0.986004,0.945,-0.175,-0.42,0.36,0.207,-0.063
06-26-2025 19:33:57.313,-0.384056,-0.101748,0.979904,0.56,0.14,-0.28,0.3525,0.204,-0.063
06-26-2025 19:33:57.353,-0.3477,-0.113216,0.987956,-0.245,0.35,0.14,0.357,0.1995,-0.0525
06-26-2025 19:33:57.393,-0.298412,-0.11468,0.970632,0.42,0.35,0.035,0.3495,0.204,-0.0525
06-26-2025 19:33:57.433,-0.29158,-0.0976,0.986492,-0.35,0.175,-0.035,0.3585,0.2025,-0.057
06-26-2025 19:33:57.473,-0.309148,-0.126392,0.986736,0.735,-0.175,-0.385,0.351,0.1995,-0.0555
06-26-2025 19:33:57.513,-0.346724,-0.092964,0.990884,-0.42,-0.245,0.28,0.3495,0.1935,-0.0555
06-26-2025 19:33:57.553,-0.366732,-0.123952,0.971852,0,-0.035,-0.07,0.3555,0.2025,-0.0555
06-26-2025 19:33:57.593,-0.34648,-0.107116,0.987468,-0.21,0.21,-0.035,0.3525,0.2055,-0.057
06-26-2025 19:33:57.633,-0.311588,-0.122244,0.982344,-0.035,0.245,0.315,0.354,0.21,-0.0555
06-26-2025 19:33:57.673,-0.294264,-0.10492,0.9882,0.42,0.21,-0.315,0.3525,0.2085,-0.057
06-26-2025 19:33:57.713,-0.308416,-0.113704,0.982588,0.42,-0.07,-0.28,0.3465,0.216,-0.0495
06-26-2025 19:33:57.753,-0.341844,-0.110044,0.987956,0.665,-0.105,-0.105,0.351,0.2055,-0.0585
06-26-2025 19:33:57.793,-0.361852,-0.095648,0.98454,0.07,-0.035,-0.14,0.3585,0.2025,-0.0555
06-26-2025 19:33:57.833,-0.344772,-0.12688,0.989176,0.21,0.175,-0.07,0.3615,0.2055,-0.057
06-26-2025 19:33:57.873,-0.318908,-0.102724,0.985516,-0.385,0.175,0.28,0.3555,0.207,-0.0435
06-26-2025 19:33:57.913,-0.300364,-0.122,0.989664,0.105,0.07,-0.035,0.357,0.216,-0.0555
06-26-2025 19:33:57.953,-0.308416,-0.1098,0.990396,0.035,-0.07,-0.035,0.363,0.204,-0.048
06-26-2025 19:33:57.993,-0.33672,-0.116876,0.98698,0.21,-0.14,0.07,0.354,0.2085,-0.0555
06-26-2025 19:33:58.033,-0.353312,-0.11224,0.98942,0.49,0,-0.315,0.3555,0.2025,-0.0555
06-26-2025 19:33:58.073,-0.347212,-0.114436,0.987468,0.245,0.175,-0.14,0.36,0.21,-0.0555
06-26-2025 19:33:58.113,-0.31842,-0.116632,0.986248,0.35,0.21,0,0.366,0.201,-0.0585
06-26-2025 19:33:58.153,-0.309392,-0.10492,0.986248,0.21,0.105,-0.21,0.3495,0.1995,-0.06
06-26-2025 19:33:58.193,-0.315736,-0.11712,0.987712,0.28,0,-0.035,0.357,0.2085,-0.0525
06-26-2025 19:33:58.233,-0.333304,-0.10004,0.986736,0.035,-0.07,0.07,0.357,0.207,-0.0615
06-26-2025 19:33:58.273,-0.35136,-0.111996,0.981612,0.07,-0.035,-0.07,0.354,0.207,-0.057
06-26-2025 19:33:58.313,-0.338672,-0.115656,0.987468,0.035,0.105,0.035,0.36,0.2055,-0.0555
06-26-2025 19:33:58.353,-0.330864,-0.104676,0.988444,0,0.14,0.14,0.3615,0.2055,-0.0555
06-26-2025 19:33:58.393,-0.314272,-0.115168,0.97722,0.245,0.14,-0.21,0.3525,0.207,-0.057
06-26-2025 19:33:58.433,-0.324032,-0.110532,0.98454,0.245,0,-0.105,0.354,0.198,-0.063
06-26-2025 19:33:58.473,-0.335744,-0.111752,0.979416,0.35,-0.035,-0.035,0.357,0.204,-0.054
06-26-2025 19:33:58.513,-0.34892,-0.107116,0.98454,0.385,0.035,-0.28,0.3585,0.1995,-0.0525
06-26-2025 19:33:58.553,-0.33916,-0.106628,0.980148,0.14,0.105,0,0.3585,0.198,-0.0615
06-26-2025 19:33:58.593,-0.326716,-0.112972,0.981368,0.07,0.175,0.035,0.351,0.2025,-0.0555
06-26-2025 19:33:58.633,-0.313296,-0.110288,0.981368,0,0.105,-0.035,0.3555,0.21,-0.0525
06-26-2025 19:33:58.673,-0.322812,-0.116388,0.977464,0.035,0.035,0.07,0.3525,0.2055,-0.051
06-26-2025 19:33:58.713,-0.336232,-0.109556,0.976976,0.035,0,0.035,0.363,0.198,-0.048
06-26-2025 19:33:58.753,-0.338916,-0.116632,0.983076,0.21,0.035,-0.175,0.354,0.2115,-0.06
06-26-2025 19:33:58.793,-0.337696,-0.1159,0.983564,0.21,0.14,0,0.354,0.2055,-0.0525
06-26-2025 19:33:58.833,-0.327204,-0.111508,0.976976,0.175,0.175,-0.035,0.357,0.2025,-0.06
06-26-2025 19:33:58.873,-0.321348,-0.114436,0.982344,0.35,0.105,-0.21,0.3555,0.2025,-0.0525
06-26-2025 19:33:58.913,-0.32452,-0.112484,0.981368,0.175,0.035,0,0.3585,0.204,-0.057
06-26-2025 19:33:58.953,-0.330864,-0.108824,0.980636,0.28,0,-0.105,0.357,0.195,-0.0615
06-26-2025 19:33:58.993,-0.337208,-0.115412,0.981368,0.14,0.035,-0.07,0.3585,0.2025,-0.0525
06-26-2025 19:33:59.033,-0.333304,-0.11102,0.98332,0.035,0.07,0.07,0.357,0.21,-0.0615
06-26-2025 19:33:59.073,-0.32208,-0.11102,0.983076,0.035,0.105,0,0.3555,0.2055,-0.0495
06-26-2025 19:33:59.113,-0.32086,-0.116144,0.983808,0.14,0.07,-0.07,0.3615,0.204,-0.051
06-26-2025 19:33:59.153,-0.325008,-0.111996,0.981368,0.245,0.035,0,0.351,0.2055,-0.0585
06-26-2025 19:33:59.193,-0.333792,-0.111752,0.983808,0.28,0.035,-0.105,0.3555,0.2055,-0.057
06-26-2025 19:33:59.233,-0.335256,-0.112728,0.983564,0.35,0.035,-0.14,0.3525,0.1995,-0.057
06-26-2025 19:33:59.273,-0.325984,-0.108824,0.984052,0.175,0.07,-0.035,0.3495,0.207,-0.063
06-26-2025 19:33:59.313,-0.325252,-0.109068,0.985272,0.245,0.07,-0.105,0.3555,0.201,-0.0555
06-26-2025 19:33:59.353,-0.325496,-0.112972,0.987712,0.14,0.07,-0.07,0.354,0.201,-0.057
06-26-2025 19:33:59.393,-0.331596,-0.116632,0.987712,0.105,0.035,0.035,0.3555,0.2025,-0.06
